root,original_path,original_name,normalized_name,proposed_display_name,proposed_safe_slug,candidate_type,confidence,review_status,reason,collision_group,slug_collision
original-ar,/srv/daawah/media/original-ar/المحترم مع أيمن الباجوري,المحترم مع أيمن الباجوري,المحترم مع أيمن الباجوري,المحترم مع أيمن الباجوري,المحترم,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/برنامج فاغتنموه مع الدكتور أكرم كساب,برنامج فاغتنموه مع الدكتور أكرم كساب,برنامج فاغتنموه مع الدكتور أكرم كساب,برنامج فاغتنموه مع الدكتور أكرم كساب,برنامج-فاغتنموه,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/معالم إرشادية,معالم إرشادية,معالم إرشادية,معالم إرشادية,معالم-إرشادية,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/في بيت إبراهيم ｜ أكرم رضا,في بيت إبراهيم أكرم رضا,في بيت إبراهيم أكرم رضا,في بيت إبراهيم أكرم رضا,في-بيت-إبراهيم-أكرم-رضا,original-library,medium,ready,,,
original-ar,/srv/daawah/media/original-ar/يسألونك (10) موسم الحج مع د أحمد سعيد حوى,يسألونك (10) موسم الحج مع د أحمد سعيد حوى,يسألونك (10) موسم الحج مع د أحمد سعيد حوى,يسألونك (10) موسم الحج مع د أحمد سعيد حوى,يسألونك-10-موسم-الحج,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/آيات الحج مع ياسر عمر,آيات الحج مع ياسر عمر,آيات الحج مع ياسر عمر,آيات الحج مع ياسر عمر,آيات-الحج,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/وذكرهم مع ياسر عمر,وذكرهم مع ياسر عمر,وذكرهم مع ياسر عمر,وذكرهم مع ياسر عمر,وذكرهم,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/يسألونك الموسم الخامس مع مصباح سيدي وفضيلة الدكتور رجب أبو مليح,يسألونك الموسم الخامس مع مصباح سيدي وفضيلة الدكتور رجب أبو مليح,يسألونك الموسم الخامس مع مصباح سيدي وفضيلة الدكتور رجب أبو مليح,يسألونك الموسم الخامس مع مصباح سيدي وفضيلة الدكتور رجب أبو مليح,يسألونك-الموسم-الخامس,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/على بحر الخليل مع ا سمير عطية,على بحر الخليل مع ا سمير عطية,على بحر الخليل مع ا سمير عطية,على بحر الخليل مع ا سمير عطية,على-بحر-الخليل,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/تيسير المصطلح مع د محي الدين عوامة,تيسير المصطلح مع د محي الدين عوامة,تيسير المصطلح مع د محي الدين عوامة,تيسير المصطلح مع د محي الدين عوامة,تيسير-المصطلح,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/وفي أنفسكم مع د أسامة شافعي,وفي أنفسكم مع د أسامة شافعي,وفي أنفسكم مع د أسامة شافعي,وفي أنفسكم مع د أسامة شافعي,وفي-أنفسكم,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/جوامع الكلم مع د يوسف عبد الدايم,جوامع الكلم مع د يوسف عبد الدايم,جوامع الكلم مع د يوسف عبد الدايم,جوامع الكلم مع د يوسف عبد الدايم,جوا,original-library,high,ready,clean name,,
